Line list produced by pgo v8.0.305 32 bit (Delphi 18.5/18)	8000305
Molecule	Upper Manifold	J'	Sym'	#'	Lower Manifold	J"	Sym"	#"	Position	Intensity	Eupper	Elower	Spol	A	Width	Branch	Label
Mola	Ground	5	A	10	Ground	4	A	6	68584.6794324297	8.29353667409654E-8	134509.074969553	65924.3955371228	0.00019524283586556	1.99951711417918E-10	0	sR3,2(4)	Mola v=0  5  5  1 - v=0  4  3  2
Mola	Ground	5	A	7	Ground	4	A	7	19036.3838123866	0.000151586146949562	84962.8250250871	65926.4412127005	1.06683394700583	2.3362475743234E-8	0	qR3,1(4)	Mola v=0  5  3  2 - v=0  4  3  1
Mola	Ground	5	A	11	Ground	4	A	7	68582.6339234853	8.29352068347907E-8	134509.075136186	65926.4412127005	0.000195250025475598	1.99941183877396E-10	0	sR3,1(4)	Mola v=0  5  5  0 - v=0  4  3  1
Mola	Ground	5	A	8	Ground	4	A	8	19021.4842761312	7.16446288531727E-5	106629.009635512	87607.5253593808	0.600138797974087	1.31115365907347E-8	0	qR4,1(4)	Mola v=0  5  4  2 - v=0  4  4  1
Mola	Ground	5	A	9	Ground	4	A	9	19021.5429740535	7.16448293955215E-5	106629.075677847	87607.5327037934	0.600138798455423	1.31116579833133E-8	0	qR4,0(4)	Mola v=0  5  4  1 - v=0  4  4  0
Mola	Ground	4	A	6	Ground	5	A	2	7388.13375071971	8.65839077877224E-9	65924.3955371228	58536.2617864031	0.000141376269152081	2.21207383579736E-13	0	sP1,5(5)	Mola v=0  4  3  2 - v=0  5  1  5
Mola	Ground	4	A	7	Ground	5	A	3	4398.34137397324	8.23748974545012E-9	65926.4412127005	61528.0998387272	0.000228676176162254	7.54929815542488E-14	0	sP1,4(5)	Mola v=0  4  3  1 - v=0  5  1  4
Mola	Ground	4	A	8	Ground	5	A	4	18236.5349948928	3.05149987512642E-9	87607.5253593808	69370.990364488	2.29722610297514E-5	5.40567050884451E-13	0	sP2,4(5)	Mola v=0  4  4  1 - v=0  5  2  4
Mola	Ground	4	A	9	Ground	5	A	5	17906.129970922	3.0354316605542E-9	87607.5327037934	69701.4027328714	2.3304466517347E-5	5.19114569667487E-13	0	sP2,3(5)	Mola v=0  4  4  0 - v=0  5  2  3
Mola	Ground	5	A	4	Ground	5	A	1	12701.4687752062	1.29874274151358E-6	69370.990364488	56669.5215892818	0.0124097707765883	8.07224386745183E-11	0	sQ0,5(5)	Mola v=0  5  2  4 - v=0  5  0  5
Mola	Ground	5	A	8	Ground	5	A	1	49959.4880462303	8.30809196179396E-10	106629.009635512	56669.5215892818	2.32805048689282E-6	9.21541742091581E-13	0	uQ0,5(5)	Mola v=0  5  4  2 - v=0  5  0  5
Mola	Ground	5	A	3	Ground	5	A	2	2991.83805232412	3.11812829018468E-6	61528.0998387272	58536.2617864031	0.123551171394964	1.05033972516576E-11	0	qQ1,5(5)	Mola v=0  5  1  4 - v=0  5  1  5
Mola	Ground	5	A	7	Ground	5	A	2	26426.563238684	2.09517392752581E-7	84962.8250250871	58536.2617864031	0.00103033004610455	6.0362484267839E-11	0	sQ1,5(5)	Mola v=0  5  3  2 - v=0  5  1  5
